Node1	Node2	Pvalue	Cor	CorrB
Otu00053	Otu00031	0.0099	0.6783	Positive
Otu00059	Otu00031	0.0099	-0.7952	Negative
Otu00067	Otu00031	0.0099	0.667	Positive
Otu00068	Otu00031	0.0099	0.6498	Positive
Otu00069	Otu00031	0.0099	0.644	Positive
Otu00074	Otu00031	0.0099	0.6648	Positive
Otu00077	Otu00031	0.0099	0.6676	Positive
Otu00078	Otu00031	0.0099	0.628	Positive
Otu00081	Otu00031	0.0099	0.601	Positive
Otu00084	Otu00031	0.0099	0.6394	Positive
Otu00090	Otu00031	0.0099	0.6395	Positive
Otu00092	Otu00031	0.0099	0.6438	Positive
Otu00094	Otu00031	0.0099	0.6552	Positive
Otu00100	Otu00031	0.0099	0.6561	Positive
Otu00103	Otu00031	0.0099	0.6119	Positive
Otu00106	Otu00031	0.0099	0.6055	Positive
Otu00108	Otu00031	0.0099	0.6028	Positive
Otu00113	Otu00031	0.0099	0.559	Positive
Otu00117	Otu00031	0.0099	0.6116	Positive
Otu00135	Otu00031	0.0099	0.5845	Positive
Otu00033	Otu00032	0.0099	0.7237	Positive
Otu00034	Otu00032	0.0099	-0.7644	Negative
Otu00036	Otu00032	0.0099	0.6399	Positive
Otu00037	Otu00032	0.0099	0.731	Positive
Otu00041	Otu00032	0.0099	0.7224	Positive
Otu00044	Otu00032	0.0099	-0.523	Negative
Otu00048	Otu00032	0.0099	0.6834	Positive
Otu00049	Otu00032	0.0099	0.6784	Positive
Otu00050	Otu00032	0.0099	0.707	Positive
Otu00052	Otu00032	0.0099	0.674	Positive
Otu00054	Otu00032	0.0099	0.6628	Positive
Otu00055	Otu00032	0.0099	0.6366	Positive
Otu00056	Otu00032	0.0099	-0.6521	Negative
Otu00057	Otu00032	0.0099	-0.6616	Negative
Otu00059	Otu00032	0.0099	-0.8024	Negative
Otu00069	Otu00032	0.0099	0.6269	Positive
Otu00070	Otu00032	0.0099	0.6459	Positive
Otu00080	Otu00032	0.0099	-0.6754	Negative
Otu00082	Otu00032	0.0099	0.6206	Positive
Otu00086	Otu00032	0.0099	0.6281	Positive
Otu00089	Otu00032	0.0099	0.5428	Positive
Otu00090	Otu00032	0.0099	0.6442	Positive
Otu00091	Otu00032	0.0099	0.6553	Positive
Otu00098	Otu00032	0.0099	-0.6398	Negative
Otu00102	Otu00032	0.0099	0.6212	Positive
Otu00108	Otu00032	0.0099	0.6148	Positive
Otu00111	Otu00032	0.0099	0.5906	Positive
Otu00114	Otu00032	0.0099	0.581	Positive
Otu00117	Otu00032	0.0099	0.6038	Positive
Otu00123	Otu00032	0.0099	0.5463	Positive
Otu00126	Otu00032	0.0099	0.634	Positive
Otu00034	Otu00033	0.0099	-0.7349	Negative
Otu00035	Otu00033	0.0099	-0.7755	Negative
Otu00036	Otu00033	0.0099	0.7024	Positive
Otu00046	Otu00033	0.0099	0.6718	Positive
Otu00048	Otu00033	0.0099	0.6605	Positive
Otu00054	Otu00033	0.0099	0.6479	Positive
Otu00055	Otu00033	0.0099	0.6976	Positive
Otu00056	Otu00033	0.0099	-0.5802	Negative
Otu00059	Otu00033	0.0099	-0.7824	Negative
Otu00061	Otu00033	0.0099	0.658	Positive
Otu00062	Otu00033	0.0099	-0.6047	Negative
Otu00065	Otu00033	0.0099	0.6471	Positive
Otu00068	Otu00033	0.0099	0.6693	Positive
Otu00069	Otu00033	0.0099	0.6285	Positive
Otu00070	Otu00033	0.0099	0.6042	Positive
Otu00073	Otu00033	0.0099	0.6611	Positive
Otu00077	Otu00033	0.0099	0.6487	Positive
Otu00078	Otu00033	0.0099	0.6954	Positive
Otu00081	Otu00033	0.0099	0.6058	Positive
Otu00084	Otu00033	0.0099	0.6179	Positive
Otu00091	Otu00033	0.0099	0.6846	Positive
Otu00093	Otu00033	0.0099	0.6227	Positive
Otu00094	Otu00033	0.0099	0.6655	Positive
Otu00096	Otu00033	0.0099	-0.635	Negative
Otu00100	Otu00033	0.0099	0.6108	Positive
Otu00103	Otu00033	0.0099	0.6322	Positive
Otu00105	Otu00033	0.0099	0.5948	Positive
Otu00111	Otu00033	0.0099	0.5705	Positive
Otu00113	Otu00033	0.0099	0.6041	Positive
Otu00117	Otu00033	0.0099	0.5387	Positive
Otu00135	Otu00033	0.0099	0.6072	Positive
Otu00036	Otu00034	0.0099	-0.7837	Negative
Otu00039	Otu00034	0.0099	0.7851	Positive
